Weekly_GenAI_Hours,Primary_Use_Case,Prompt_Engineering_Skill,Tool_Diversity,Traditional_Study_Hours,Perceived_AI_Dependency,Institutional_Policy,Anxiety_Level_During_Exams,Major_Category,Year_of_Study,Burnout_Risk_Level,Burnout_Code
13.39,4,2,2,20.87,5,Allowed_With_Citation,4,STEM,Senior,Medium,2
11.13,4,0,4,15.85,3,Strict_Ban,6,Medical,Sophomore,High,0
11.16,1,1,2,12.82,6,Actively_Encouraged,5,Arts,Senior,High,0
11.36,4,2,3,9.52,5,Allowed_With_Citation,6,Medical,Sophomore,Low,1
0.88,3,2,4,12.87,4,Allowed_With_Citation,1,Medical,Senior,Medium,2
0.16,4,1,1,15.1,2,Allowed_With_Citation,5,Business,Junior,Medium,2
20.48,2,1,2,4.24,6,Actively_Encouraged,2,Medical,Senior,High,0
2.23,3,0,4,14.06,4,Strict_Ban,4,STEM,Junior,Medium,2
9.77,3,0,3,17.42,4,Allowed_With_Citation,4,STEM,Sophomore,Medium,2
2.7,1,1,2,18.28,3,Allowed_With_Citation,4,STEM,Junior,Medium,2
14.92,4,1,2,10.74,2,Strict_Ban,8,Humanities,Sophomore,Medium,2
6.6,3,0,3,10.29,4,Strict_Ban,5,Humanities,Sophomore,Low,1
2.47,1,2,3,8.94,1,Allowed_With_Citation,1,STEM,Freshman,Medium,2
17.37,0,1,1,10.06,6,Strict_Ban,5,Arts,Senior,High,0
7.02,0,2,4,13.18,2,Allowed_With_Citation,3,Humanities,Freshman,Low,1
8.2,3,2,1,17.15,2,Actively_Encouraged,4,STEM,Graduate,Low,1
0.65,3,2,3,14.09,3,Actively_Encouraged,5,Business,Freshman,Medium,2
6.73,1,2,4,15.32,3,Allowed_With_Citation,2,STEM,Graduate,Medium,2
1.1,3,1,2,17.55,2,Strict_Ban,3,Arts,Graduate,Medium,2
16.74,2,0,3,6.48,4,Allowed_With_Citation,2,STEM,Sophomore,High,0
9.62,0,1,1,7.64,5,Allowed_With_Citation,5,Medical,Graduate,Low,1
18.86,2,1,1,13.19,6,Allowed_With_Citation,7,Arts,Graduate,High,0
13.89,0,1,2,9.7,8,Allowed_With_Citation,6,STEM,Freshman,Medium,2
9.97,1,0,3,6.39,3,Actively_Encouraged,5,STEM,Graduate,Low,1
8.72,3,0,3,14.07,4,Allowed_With_Citation,3,Arts,Freshman,Low,1
2.08,2,1,1,19.29,5,Allowed_With_Citation,3,Business,Freshman,Low,1
5.4,0,1,2,13.8,2,Allowed_With_Citation,5,Business,Junior,Medium,2
7.29,0,1,3,6.21,1,Allowed_With_Citation,7,Arts,Freshman,Low,1
0.9,1,0,4,11.39,1,Allowed_With_Citation,2,STEM,Freshman,Low,1
8.84,0,2,2,16.3,1,Allowed_With_Citation,8,Humanities,Graduate,High,0
5.01,4,1,3,14.7,2,Allowed_With_Citation,1,STEM,Graduate,Medium,2
2.79,0,1,2,1.96,2,Allowed_With_Citation,1,Arts,Senior,Low,1
8.53,2,1,2,12.93,4,Strict_Ban,2,Business,Junior,Low,1
13.97,4,1,1,4.38,4,Actively_Encouraged,4,Humanities,Graduate,Medium,2
3.7,1,2,4,17.94,2,Allowed_With_Citation,2,STEM,Freshman,Medium,2
8.18,2,0,4,12.32,4,Actively_Encouraged,3,Humanities,Graduate,Low,1
8.23,1,2,3,18.91,3,Strict_Ban,3,Humanities,Sophomore,Medium,2
9.65,3,2,5,2.81,2,Strict_Ban,5,Business,Graduate,High,0
13.19,3,1,2,11.21,6,Allowed_With_Citation,5,Business,Senior,Medium,2
6.51,4,1,3,2.53,1,Actively_Encouraged,2,Medical,Graduate,High,0
34.0,1,1,2,8.67,6,Actively_Encouraged,1,Humanities,Graduate,High,0
7.91,1,2,5,14.46,3,Actively_Encouraged,6,STEM,Graduate,Medium,2
5.87,0,2,5,8.39,3,Strict_Ban,2,Business,Junior,High,0
0.16,1,2,5,14.86,3,Allowed_With_Citation,1,Arts,Senior,Low,1
12.92,2,2,2,9.91,7,Actively_Encouraged,8,Business,Senior,Medium,2
21.32,4,1,2,12.78,3,Allowed_With_Citation,4,Arts,Freshman,Medium,2
5.21,0,1,1,11.81,1,Allowed_With_Citation,3,Humanities,Senior,High,0
3.32,2,2,2,8.4,2,Actively_Encouraged,5,Business,Freshman,Medium,2
3.02,0,1,2,9.14,2,Allowed_With_Citation,3,Humanities,Graduate,Medium,2
28.71,1,0,5,5.64,6,Allowed_With_Citation,4,STEM,Freshman,Medium,2
11.3,2,0,3,11.04,6,Allowed_With_Citation,2,STEM,Graduate,High,0
25.83,1,2,3,10.46,7,Allowed_With_Citation,6,STEM,Sophomore,High,0
8.9,1,2,3,13.27,6,Strict_Ban,4,Business,Freshman,Medium,2
3.32,0,1,2,10.21,5,Allowed_With_Citation,2,Humanities,Graduate,Medium,2
4.77,1,2,2,13.78,2,Allowed_With_Citation,4,Business,Freshman,Low,1
5.72,0,2,2,13.43,2,Actively_Encouraged,2,Medical,Junior,Medium,2
9.6,1,2,3,8.86,3,Allowed_With_Citation,1,STEM,Senior,Medium,2
6.37,0,0,3,9.82,2,Strict_Ban,1,Humanities,Sophomore,Low,1
4.33,2,1,1,11.66,2,Strict_Ban,4,Arts,Junior,Low,1
0.43,0,2,4,19.85,3,Allowed_With_Citation,1,STEM,Senior,Low,1
10.28,3,0,4,21.84,4,Allowed_With_Citation,2,STEM,Graduate,Low,1
7.54,1,1,1,5.89,2,Strict_Ban,4,STEM,Freshman,Low,1
12.06,3,1,3,10.76,6,Allowed_With_Citation,6,STEM,Freshman,Medium,2
9.86,3,2,2,10.92,5,Allowed_With_Citation,3,Medical,Junior,Low,1
2.86,0,1,1,8.7,4,Allowed_With_Citation,1,Arts,Sophomore,Low,1
2.61,3,0,5,17.37,1,Allowed_With_Citation,3,Business,Sophomore,Low,1
1.25,3,1,3,8.2,2,Allowed_With_Citation,3,Medical,Sophomore,Medium,2
5.45,4,0,3,13.36,3,Actively_Encouraged,4,Arts,Junior,Low,1
0.73,1,2,2,14.34,1,Strict_Ban,6,STEM,Graduate,Low,1
27.9,4,1,2,3.85,7,Allowed_With_Citation,5,Medical,Freshman,Medium,2
0.9,3,0,5,14.29,1,Allowed_With_Citation,3,Business,Freshman,Low,1
3.58,3,2,4,13.55,3,Allowed_With_Citation,2,Arts,Senior,Medium,2
0.51,2,1,2,18.15,4,Actively_Encouraged,9,Medical,Freshman,Low,1
18.48,0,1,1,15.63,4,Allowed_With_Citation,4,Humanities,Senior,Medium,2
3.16,3,0,3,6.88,5,Actively_Encouraged,6,STEM,Sophomore,Medium,2
40.0,4,2,4,7.47,10,Actively_Encouraged,2,STEM,Sophomore,High,0
18.06,1,1,2,7.85,7,Actively_Encouraged,8,Humanities,Sophomore,Medium,2
5.4,2,2,2,11.48,4,Allowed_With_Citation,2,Arts,Sophomore,Low,1
23.63,3,1,2,17.8,7,Strict_Ban,9,Arts,Senior,Medium,2
3.94,1,2,4,13.31,3,Allowed_With_Citation,3,STEM,Graduate,Medium,2
8.18,3,2,2,14.57,2,Actively_Encouraged,1,Business,Junior,Low,1
1.62,0,1,2,11.94,1,Allowed_With_Citation,6,Humanities,Junior,Low,1
20.76,3,0,3,7.95,5,Allowed_With_Citation,4,STEM,Freshman,Low,1
9.69,1,1,3,13.35,5,Actively_Encouraged,5,STEM,Senior,Medium,2
16.77,2,0,3,11.01,6,Allowed_With_Citation,1,Humanities,Junior,High,0
6.97,4,1,2,10.01,3,Allowed_With_Citation,7,Medical,Freshman,Low,1
6.39,1,1,1,8.27,3,Actively_Encouraged,7,Humanities,Freshman,Medium,2
11.13,1,1,3,12.68,8,Allowed_With_Citation,3,Business,Freshman,Medium,2
0.44,3,0,4,19.67,4,Strict_Ban,2,Business,Freshman,Medium,2
4.18,2,2,1,5.38,1,Allowed_With_Citation,3,Humanities,Senior,Medium,2
1.9,3,1,2,9.32,3,Allowed_With_Citation,2,Medical,Graduate,Low,1
20.69,3,1,2,1.95,4,Allowed_With_Citation,7,Medical,Senior,High,0
25.2,1,0,4,10.34,4,Allowed_With_Citation,4,STEM,Junior,High,0
10.37,0,0,4,16.72,4,Actively_Encouraged,1,Humanities,Sophomore,Medium,2
16.61,4,1,3,6.92,5,Allowed_With_Citation,7,Humanities,Sophomore,High,0
22.04,4,2,1,1.0,6,Allowed_With_Citation,9,STEM,Junior,Low,1
9.16,3,0,3,18.86,5,Actively_Encouraged,4,STEM,Sophomore,High,0
25.66,3,2,1,1.0,5,Allowed_With_Citation,4,Business,Sophomore,High,0
6.05,3,1,2,6.14,1,Actively_Encouraged,1,Business,Junior,Low,1
40.0,1,1,3,4.54,6,Allowed_With_Citation,5,STEM,Sophomore,High,0
35.18,1,0,4,7.77,8,Actively_Encouraged,6,STEM,Freshman,High,0
20.4,0,1,1,16.51,6,Actively_Encouraged,6,Medical,Freshman,Medium,2
4.43,0,2,5,17.4,4,Allowed_With_Citation,3,STEM,Sophomore,Low,1
4.13,4,0,4,10.31,1,Allowed_With_Citation,4,STEM,Junior,Medium,2
4.01,3,2,3,18.42,1,Allowed_With_Citation,3,Humanities,Sophomore,Low,1
1.52,4,2,3,8.0,3,Strict_Ban,2,Medical,Freshman,Medium,2
1.35,0,0,3,20.18,3,Actively_Encouraged,4,STEM,Sophomore,Medium,2
9.72,4,1,3,10.26,6,Allowed_With_Citation,7,Business,Freshman,High,0
3.86,0,1,3,6.6,5,Actively_Encouraged,5,Arts,Graduate,High,0
10.2,2,1,2,6.81,4,Strict_Ban,4,STEM,Sophomore,High,0
2.92,3,2,3,13.33,4,Actively_Encouraged,9,Business,Freshman,Medium,2
2.76,0,1,3,21.05,1,Actively_Encouraged,5,Humanities,Senior,Low,1
9.49,4,1,2,7.24,5,Strict_Ban,5,Business,Sophomore,Low,1
2.62,1,1,1,18.85,3,Allowed_With_Citation,2,Business,Junior,High,0
1.41,3,2,2,15.13,4,Allowed_With_Citation,5,Business,Freshman,Low,1
27.25,1,1,3,12.13,6,Allowed_With_Citation,5,STEM,Graduate,High,0
9.67,3,1,2,7.94,3,Actively_Encouraged,5,Arts,Graduate,High,0
1.18,4,1,1,16.79,1,Strict_Ban,2,Humanities,Senior,High,0
2.67,1,2,1,6.45,3,Allowed_With_Citation,1,STEM,Senior,Low,1
4.31,1,2,2,5.11,2,Strict_Ban,5,STEM,Junior,Medium,2
5.54,4,2,2,11.0,3,Strict_Ban,4,Business,Graduate,High,0
0.78,3,0,4,15.51,5,Allowed_With_Citation,5,Business,Junior,Low,1
2.54,3,2,1,9.31,4,Allowed_With_Citation,7,STEM,Sophomore,Medium,2
0.11,4,0,3,10.56,3,Allowed_With_Citation,7,Business,Freshman,Medium,2
9.82,0,1,2,1.21,3,Allowed_With_Citation,6,STEM,Freshman,Low,1
14.99,2,2,2,14.5,6,Actively_Encouraged,3,Business,Junior,Medium,2
2.13,1,1,2,18.79,5,Actively_Encouraged,8,STEM,Sophomore,High,0
18.12,3,0,4,6.81,6,Allowed_With_Citation,5,Business,Senior,High,0
3.46,4,1,3,18.16,3,Allowed_With_Citation,4,Humanities,Sophomore,Low,1
2.94,0,1,1,12.84,3,Strict_Ban,5,Medical,Graduate,Low,1
2.7,1,0,5,10.94,2,Actively_Encouraged,2,STEM,Junior,Low,1
26.24,0,0,5,7.7,7,Strict_Ban,9,Humanities,Junior,High,0
3.1,1,1,1,17.08,4,Strict_Ban,1,STEM,Junior,Low,1
3.49,3,0,3,10.52,2,Actively_Encouraged,3,Medical,Graduate,High,0
0.75,4,1,2,18.67,1,Allowed_With_Citation,5,Medical,Freshman,Low,1
37.66,0,2,3,7.47,6,Allowed_With_Citation,7,STEM,Freshman,Medium,2
0.36,1,1,2,12.55,4,Allowed_With_Citation,1,Business,Senior,Low,1
3.33,0,2,3,12.62,2,Allowed_With_Citation,1,Arts,Senior,Low,1
1.87,0,2,3,3.97,2,Actively_Encouraged,1,Business,Junior,Medium,2
3.23,3,1,2,15.68,1,Allowed_With_Citation,4,Business,Sophomore,Medium,2
1.7,0,2,4,10.47,3,Allowed_With_Citation,8,STEM,Sophomore,Low,1
3.49,4,2,2,3.56,2,Actively_Encouraged,1,STEM,Sophomore,Low,1
3.05,4,2,2,5.0,4,Actively_Encouraged,9,Medical,Graduate,High,0
2.41,2,1,2,12.17,3,Allowed_With_Citation,1,Medical,Sophomore,Low,1
7.69,0,0,5,16.64,1,Allowed_With_Citation,2,Business,Senior,Low,1
3.64,3,1,3,2.4,1,Allowed_With_Citation,5,Humanities,Senior,Medium,2
2.11,0,2,2,18.87,2,Actively_Encouraged,3,Humanities,Freshman,Medium,2
6.34,2,1,2,11.62,3,Allowed_With_Citation,6,Business,Freshman,Low,1
2.64,2,2,1,13.48,1,Allowed_With_Citation,6,Medical,Sophomore,Low,1
8.1,4,1,3,9.79,4,Allowed_With_Citation,3,Medical,Senior,Medium,2
14.28,2,0,3,13.68,6,Strict_Ban,5,Arts,Sophomore,High,0
17.53,0,1,2,13.95,6,Strict_Ban,10,Business,Freshman,Medium,2
1.76,4,0,3,18.52,2,Actively_Encouraged,2,STEM,Sophomore,Low,1
0.87,1,2,5,12.01,4,Strict_Ban,7,STEM,Freshman,Medium,2
10.51,2,1,3,11.46,4,Allowed_With_Citation,6,Medical,Freshman,Low,1
21.32,1,1,2,14.42,6,Allowed_With_Citation,6,Business,Sophomore,Medium,2
8.15,1,2,3,17.99,4,Actively_Encouraged,6,STEM,Freshman,Medium,2
0.81,1,1,2,12.11,4,Actively_Encouraged,5,STEM,Senior,Medium,2
9.73,3,1,1,11.08,4,Allowed_With_Citation,4,Business,Sophomore,Low,1
1.59,2,1,2,20.06,4,Actively_Encouraged,6,STEM,Senior,Medium,2
6.03,4,0,4,10.87,2,Allowed_With_Citation,7,STEM,Junior,Medium,2
9.61,1,0,3,6.04,4,Allowed_With_Citation,7,Business,Graduate,Medium,2
16.68,4,0,4,13.45,5,Allowed_With_Citation,6,Business,Freshman,Medium,2
6.12,3,0,5,11.18,6,Allowed_With_Citation,1,Business,Freshman,Low,1
4.25,2,1,2,1.29,4,Allowed_With_Citation,7,STEM,Graduate,Medium,2
5.75,4,0,5,10.43,3,Allowed_With_Citation,6,Business,Senior,Low,1
1.91,1,2,2,3.43,4,Allowed_With_Citation,6,STEM,Freshman,Low,1
4.27,0,2,3,1.0,5,Actively_Encouraged,1,Humanities,Freshman,High,0
7.89,3,1,2,23.25,2,Strict_Ban,2,Business,Graduate,High,0
2.69,3,1,1,14.68,2,Allowed_With_Citation,3,Business,Freshman,Low,1
3.85,0,2,3,21.18,4,Actively_Encouraged,6,Arts,Graduate,Low,1
23.56,3,0,3,1.73,7,Actively_Encouraged,9,Business,Graduate,High,0
0.18,1,1,3,19.52,1,Strict_Ban,1,Business,Sophomore,Low,1
21.42,4,0,4,10.64,3,Strict_Ban,4,STEM,Senior,High,0
11.81,4,1,3,16.54,2,Allowed_With_Citation,3,Humanities,Junior,High,0
4.6,3,1,3,20.32,3,Allowed_With_Citation,5,STEM,Senior,Medium,2
3.82,0,1,3,10.28,1,Actively_Encouraged,1,STEM,Sophomore,Medium,2
9.33,4,0,4,1.0,2,Actively_Encouraged,6,Medical,Freshman,Low,1
15.05,4,1,3,4.01,5,Actively_Encouraged,7,Humanities,Senior,Medium,2
0.39,4,1,3,21.6,1,Allowed_With_Citation,3,Medical,Freshman,Low,1
6.3,3,2,1,8.96,1,Actively_Encouraged,1,Business,Graduate,Medium,2
2.28,3,1,1,5.92,1,Allowed_With_Citation,2,Arts,Sophomore,Low,1
1.27,3,2,5,10.97,4,Allowed_With_Citation,3,Business,Freshman,High,0
5.41,3,1,1,6.16,3,Allowed_With_Citation,7,Business,Sophomore,Low,1
0.76,1,0,5,14.74,2,Strict_Ban,1,Humanities,Graduate,Low,1
8.17,2,0,3,16.89,3,Allowed_With_Citation,5,STEM,Sophomore,High,0
0.26,3,1,3,17.54,1,Allowed_With_Citation,5,Business,Graduate,Medium,2
8.76,0,2,3,16.54,2,Strict_Ban,3,STEM,Freshman,Medium,2
3.97,2,0,4,23.89,1,Allowed_With_Citation,4,STEM,Junior,Medium,2
15.28,3,1,2,15.69,6,Actively_Encouraged,7,Business,Graduate,Medium,2
7.75,1,1,1,14.91,3,Allowed_With_Citation,4,STEM,Freshman,Medium,2
5.97,4,1,1,11.13,2,Allowed_With_Citation,2,Medical,Sophomore,Low,1
9.68,4,1,2,17.3,6,Actively_Encouraged,3,Medical,Graduate,High,0
1.62,4,0,3,8.63,5,Actively_Encouraged,2,Medical,Junior,Medium,2
0.67,0,1,2,7.05,3,Strict_Ban,5,Humanities,Senior,Medium,2
22.12,3,2,2,10.25,7,Allowed_With_Citation,10,STEM,Senior,Medium,2
19.75,2,1,2,3.18,6,Allowed_With_Citation,1,Medical,Junior,High,0
9.09,0,1,3,13.12,2,Strict_Ban,5,Humanities,Senior,High,0
14.79,1,0,3,10.08,2,Allowed_With_Citation,2,Medical,Junior,Medium,2
7.89,4,2,4,20.54,6,Strict_Ban,4,Medical,Senior,Medium,2
5.74,0,1,1,14.62,4,Allowed_With_Citation,3,Arts,Freshman,Low,1
12.75,3,0,3,21.44,6,Allowed_With_Citation,3,STEM,Graduate,High,0
9.12,2,0,4,12.83,5,Allowed_With_Citation,3,Humanities,Senior,Medium,2
1.43,0,1,3,10.69,3,Actively_Encouraged,2,Arts,Sophomore,Low,1
11.89,1,2,3,8.94,4,Allowed_With_Citation,3,Humanities,Junior,Medium,2
25.73,0,1,2,19.14,7,Allowed_With_Citation,6,STEM,Sophomore,High,0
7.93,3,2,2,1.7,1,Strict_Ban,1,Business,Senior,Low,1
3.38,2,0,3,12.47,1,Strict_Ban,2,Medical,Graduate,High,0
2.17,4,0,3,17.99,1,Allowed_With_Citation,2,Business,Freshman,Low,1
7.72,0,0,3,6.6,2,Allowed_With_Citation,2,Business,Graduate,High,0
0.74,1,0,3,14.56,2,Allowed_With_Citation,3,STEM,Freshman,Medium,2
20.81,3,0,3,11.55,5,Allowed_With_Citation,4,Business,Junior,Medium,2
5.02,4,2,2,10.09,1,Allowed_With_Citation,3,Medical,Junior,Low,1
18.43,1,2,3,7.11,3,Actively_Encouraged,3,STEM,Sophomore,Low,1
22.73,4,1,3,11.01,7,Allowed_With_Citation,6,Business,Junior,High,0
1.62,4,2,3,11.71,4,Strict_Ban,2,Medical,Senior,Low,1
10.66,1,1,1,6.63,3,Allowed_With_Citation,2,Business,Sophomore,Low,1
12.22,3,2,1,11.33,5,Allowed_With_Citation,3,Business,Freshman,Medium,2
23.57,0,2,4,21.08,6,Allowed_With_Citation,7,Business,Junior,Medium,2
3.46,0,2,3,9.68,1,Actively_Encouraged,3,Humanities,Senior,Medium,2
0.86,3,1,1,8.9,1,Actively_Encouraged,1,STEM,Graduate,Low,1
9.42,0,1,1,10.47,5,Actively_Encouraged,7,Arts,Freshman,Low,1
1.3,1,1,2,12.06,5,Actively_Encouraged,4,Arts,Graduate,High,0
3.95,0,1,2,1.18,3,Strict_Ban,9,Arts,Junior,High,0
21.31,4,1,3,10.46,8,Strict_Ban,8,Medical,Sophomore,Medium,2
0.8,0,2,4,10.72,4,Actively_Encouraged,6,Business,Graduate,Low,1
6.5,4,2,3,11.21,1,Allowed_With_Citation,1,Business,Sophomore,High,0
0.39,0,1,3,9.38,1,Allowed_With_Citation,4,Arts,Senior,High,0
14.54,3,1,1,13.74,4,Strict_Ban,7,Business,Senior,High,0
1.65,0,1,2,7.45,5,Allowed_With_Citation,1,Business,Junior,High,0
0.33,4,1,2,14.09,2,Allowed_With_Citation,3,Arts,Senior,Medium,2
5.79,1,1,2,18.43,1,Allowed_With_Citation,2,Medical,Junior,Low,1
5.69,0,1,1,19.29,5,Allowed_With_Citation,4,Humanities,Freshman,Medium,2
7.31,0,0,3,11.41,3,Actively_Encouraged,4,Humanities,Senior,Medium,2
21.44,1,2,3,10.15,4,Strict_Ban,8,STEM,Graduate,High,0
0.49,3,2,4,10.57,1,Actively_Encouraged,1,Business,Junior,Low,1
11.33,2,2,2,3.98,4,Actively_Encouraged,6,STEM,Graduate,High,0
0.61,3,1,2,20.45,1,Actively_Encouraged,4,Humanities,Junior,Medium,2
13.55,3,0,4,2.54,6,Allowed_With_Citation,6,Business,Junior,Medium,2
4.77,2,0,3,13.94,2,Actively_Encouraged,4,STEM,Senior,Medium,2
4.78,1,0,5,6.4,2,Allowed_With_Citation,1,Business,Freshman,High,0
8.49,1,2,2,12.85,3,Allowed_With_Citation,3,STEM,Graduate,High,0
29.02,4,2,1,12.57,6,Allowed_With_Citation,6,STEM,Senior,Medium,2
16.4,0,1,2,18.53,4,Strict_Ban,5,Arts,Graduate,High,0
6.12,0,1,2,19.66,3,Allowed_With_Citation,1,Humanities,Junior,Medium,2
4.2,1,2,3,15.22,5,Allowed_With_Citation,6,STEM,Graduate,High,0
24.66,0,0,4,10.07,5,Allowed_With_Citation,3,Business,Senior,Medium,2
10.72,4,0,5,13.07,5,Allowed_With_Citation,7,Arts,Junior,Medium,2
18.58,2,0,3,1.6,6,Allowed_With_Citation,7,STEM,Graduate,High,0
3.03,3,0,3,17.44,2,Allowed_With_Citation,5,Business,Junior,Medium,2
0.12,1,2,3,17.41,5,Strict_Ban,8,STEM,Junior,Low,1
13.25,0,2,3,1.0,6,Allowed_With_Citation,4,STEM,Freshman,Medium,2
3.16,3,2,3,11.71,3,Allowed_With_Citation,2,Business,Graduate,Medium,2
27.29,3,1,1,5.18,7,Actively_Encouraged,4,Business,Sophomore,Medium,2
6.81,3,1,3,10.36,1,Allowed_With_Citation,2,Business,Freshman,Low,1
40.0,3,0,5,6.91,9,Allowed_With_Citation,3,Business,Freshman,High,0
0.41,4,1,1,14.34,1,Actively_Encouraged,1,Medical,Junior,Low,1
4.54,4,1,1,8.95,5,Actively_Encouraged,6,Business,Sophomore,Low,1
7.94,3,2,1,7.12,3,Allowed_With_Citation,5,Humanities,Senior,Medium,2
1.79,0,1,2,10.66,2,Actively_Encouraged,2,Arts,Sophomore,Low,1
3.31,1,1,3,13.96,4,Allowed_With_Citation,3,STEM,Senior,Low,1
8.83,1,0,3,14.11,1,Actively_Encouraged,3,Humanities,Freshman,Low,1
11.05,1,2,1,17.08,4,Allowed_With_Citation,5,STEM,Sophomore,Medium,2
0.28,1,1,2,12.76,2,Allowed_With_Citation,5,STEM,Senior,Low,1
2.26,4,2,2,25.64,1,Strict_Ban,1,Medical,Sophomore,Low,1
8.17,1,0,3,17.36,2,Actively_Encouraged,5,Arts,Freshman,Low,1
1.92,3,1,2,11.83,3,Actively_Encouraged,4,Business,Graduate,Medium,2
15.07,0,0,4,13.03,3,Actively_Encouraged,1,Humanities,Freshman,Medium,2
4.48,1,0,4,19.21,2,Strict_Ban,6,STEM,Freshman,Low,1
4.23,2,2,1,14.77,4,Allowed_With_Citation,4,STEM,Sophomore,Medium,2
40.0,1,2,1,11.65,7,Allowed_With_Citation,9,STEM,Freshman,High,0
1.01,3,2,3,12.34,2,Strict_Ban,5,Business,Freshman,Medium,2
5.8,1,0,4,16.55,5,Strict_Ban,5,Business,Senior,Medium,2
1.01,3,1,1,12.45,1,Strict_Ban,3,Business,Freshman,Low,1
7.49,1,2,2,4.84,2,Allowed_With_Citation,4,STEM,Freshman,High,0
2.16,4,1,1,19.16,5,Actively_Encouraged,4,Medical,Graduate,Low,1
4.37,3,1,3,9.79,3,Allowed_With_Citation,6,Business,Junior,Medium,2
